id,name,category,price,image_url,tags
2,Eyeshadow Palette with Mirror,beauty,19.99,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/1.webp,"['beauty', 'eyeshadow']"
3,Powder Canister,beauty,14.99,https://cdn.dummyjson.com/product-images/beauty/powder-canister/1.webp,"['beauty', 'face powder']"
4,Red Lipstick,beauty,12.99,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/1.webp,"['beauty', 'lipstick']"
5,Red Nail Polish,beauty,8.99,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/1.webp,"['beauty', 'nail polish']"
6,Calvin Klein CK One,fragrances,49.99,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp,"['fragrances', 'perfumes']"
7,Chanel Coco Noir Eau De,fragrances,129.99,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/1.webp,"['fragrances', 'perfumes']"
8,Dior J'adore,fragrances,89.99,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp,"['fragrances', 'perfumes']"
9,Dolce Shine Eau de,fragrances,69.99,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/1.webp,"['fragrances', 'perfumes']"
10,Gucci Bloom Eau de,fragrances,79.99,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/1.webp,"['fragrances', 'perfumes']"
11,Annibale Colombo Bed,furniture,1899.99,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/1.webp,"['furniture', 'beds']"
12,Annibale Colombo Sofa,furniture,2499.99,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/1.webp,"['furniture', 'sofas']"
13,Bedside Table African Cherry,furniture,299.99,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/1.webp,"['furniture', 'bedside tables']"
14,Knoll Saarinen Executive Conference Chair,furniture,499.99,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/1.webp,"['furniture', 'office chairs']"
15,Wooden Bathroom Sink With Mirror,furniture,799.99,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/1.webp,"['furniture', 'bathroom']"
16,Apple,groceries,1.99,https://cdn.dummyjson.com/product-images/groceries/apple/1.webp,['fruits']
17,Beef Steak,groceries,12.99,https://cdn.dummyjson.com/product-images/groceries/beef-steak/1.webp,['meat']
18,Cat Food,groceries,8.99,https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp,"['pet supplies', 'cat food']"
19,Chicken Meat,groceries,9.99,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/1.webp,['meat']
20,Cooking Oil,groceries,4.99,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/1.webp,['cooking essentials']
21,Cucumber,groceries,1.49,https://cdn.dummyjson.com/product-images/groceries/cucumber/1.webp,['vegetables']
22,Dog Food,groceries,10.99,https://cdn.dummyjson.com/product-images/groceries/dog-food/1.webp,"['pet supplies', 'dog food']"
23,Eggs,groceries,2.99,https://cdn.dummyjson.com/product-images/groceries/eggs/1.webp,['dairy']
24,Fish Steak,groceries,14.99,https://cdn.dummyjson.com/product-images/groceries/fish-steak/1.webp,['seafood']
25,Green Bell Pepper,groceries,1.29,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/1.webp,['vegetables']
26,Green Chili Pepper,groceries,0.99,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/1.webp,['vegetables']
27,Honey Jar,groceries,6.99,https://cdn.dummyjson.com/product-images/groceries/honey-jar/1.webp,['condiments']
